Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
1,758,19780829,262,160,136,14,19971231,1.05,3,992540.00,"197,457",10462.00,749285.00,0.00,333675.00,261086.00,149773.00,0.00,260866.00,11500.00,249366.00,0.00,0.00,0.00,246280.00,246280.00,0.00,23,2,0,0.00,260866.00,230,230,0,0,0,0,230,0,0,12,0,2,0,92,69,46,23,0,0
1,758,19780829,262,160,136,14,19981231,1.26,3.52,1038349.00,"86,252",6169.00,749285.00,0.00,435972.00,293886.00,165819.00,4306.00,260866.00,11500.00,249366.00,0.00,0.00,0.00,246280.00,246280.00,0.00,23,2,0,0.00,260866.00,230,230,0,0,0,0,230,0,0,12,0,2,0,92,69,46,23,0,0
1,775,19741204,869,89,121,14,20031231,1.16,4.33,318989.00,"30,111",5395.00,243970.00,0.00,180777.00,131442.00,89708.00,0.00,40204.00,7358.00,32846.00,0.00,0.00,0.00,32760.00,32760.00,0.00,1,3,0,50829.00,40204.00,49,49,0,0,0,49,0,0,0,0,0,1.29,0,35,14,0,0,0,0
1,775,19741204,869,89,121,14,20041231,1.52,6.79,352967.00,"43,802",5452.00,199323.00,0.00,261216.00,231183.00,192687.00,0.00,40204.00,7358.00,32846.00,0.00,0.00,0.00,32760.00,32760.00,0.00,1,3,0,50829.00,40204.00,49,49,0,0,0,49,0,0,0,0,0,1.29,0,35,14,0,0,0,0
1,775,19741204,869,89,121,14,20051231,1.21,5.46,304643.00,"11,639",6104.00,237949.00,0.00,302112.00,281665.00,226300.00,0.00,40204.00,7358.00,32846.00,0.00,0.00,0.00,32760.00,32760.00,0.00,1,3,0,50829.00,40204.00,49,49,0,0,0,49,0,0,0,0,0,1.29,0,35,14,0,0,0,0
1,775,19741204,869,89,121,14,20061231,1.13,5.05,299870.00,"1,781",10513.00,253944.00,0.00,317076.00,293799.00,231047.00,0.00,40204.00,7358.00,32846.00,0.00,0.00,0.00,32760.00,32760.00,0.00,1,3,0,50829.00,40204.00,49,49,0,0,0,49,0,0,0,0,0,1.29,0,35,14,0,0,0,0
1,1404,20081231,251,57,103,21,20101231,1.03,8.87,845903.00,0,166.00,819632.00,0.00,741066.00,135481.00,51980.00,0.00,189376.00,24822.00,164554.00,0.00,1544.00,15204.00,160626.00,160626.00,0.00,8,3,0,236538.00,206124.00,166,161,0,5,0,0,166,0,0,0,0,2.27,0,1,119,46,0,0,0
1,1402,20080527,692,122,50,22,20071231,8,1.35,494451.00,0,400.00,61784.00,0.00,534443.00,414604.00,18232.00,0.00,75892.00,0.00,75892.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,75892.00,79,79,0,0,0,79,0,0,0,4,0,1.22,0,62,17,0,0,0,0
1,1402,20080527,692,122,50,22,20081231,1.18,5.61,598321.00,0,80358.00,440813.00,0.00,678945.00,147483.00,26450.00,0.00,75892.00,0.00,75892.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,75892.00,79,79,0,0,0,79,0,0,0,4,0,1.22,0,62,17,0,0,0,0
1,1402,20080527,692,122,50,22,20091231,1.16,2.47,527166.00,0,882.00,452426.00,0.00,332426.00,162765.00,28376.00,0.00,75892.00,0.00,75892.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,75892.00,79,79,0,0,0,79,0,0,0,4,0,1.22,0,62,17,0,0,0,0
1,1402,20080527,692,122,50,22,20101231,1.29,3.4,597501.00,"2,852",443.00,460914.00,0.00,425945.00,155762.00,30443.00,0.00,75892.00,0.00,75892.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,75892.00,79,79,0,0,0,79,0,0,0,4,0,1.22,0,62,17,0,0,0,0
1,1400,20080527,692,122,50,21,20071231,1.26,3.95,265801.00,0,0.00,210384.00,0.00,2880188.00,6552769.00,5823211.00,0.00,126432.00,0.00,126432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,126432.00,144,144,0,0,0,144,0,0,0,7,0,1.24,0,110,34,0,0,0,0
1,1400,20080527,692,122,50,21,20081231,1.19,3.77,1109942.00,0,145717.00,811972.00,0.00,729905.00,276763.00,83060.00,0.00,126432.00,0.00,126432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,126432.00,144,144,0,0,0,144,0,0,0,7,0,1.24,0,110,34,0,0,0,0
1,1400,20080527,692,122,50,21,20091231,1.29,4.3,1082032.00,0,1642.00,840692.00,0.00,843923.00,283962.00,87876.00,0.00,126432.00,0.00,126432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,126432.00,144,144,0,0,0,144,0,0,0,7,0,1.24,0,110,34,0,0,0,0
1,1400,20080527,692,122,50,21,20101231,1.27,3.91,1096977.00,"5,299",813.00,857841.00,0.00,777382.00,291884.00,92972.00,0.00,126432.00,0.00,126432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,126432.00,144,144,0,0,0,144,0,0,0,7,0,1.24,0,110,34,0,0,0,0
1,1384,20090203,955,122,50,15,20091231,1.28,2.01,101904.00,0,2434.00,77886.00,0.00,594014.00,300389.00,4732.00,0.00,58692.00,11640.00,47052.00,0.00,0.00,0.00,36831.00,36831.00,0.00,2,4,2,51102.00,58692.00,38,38,0,0,0,0,38,0,0,2,0,2.03,0,9,23,2,4,0,0
1,1384,20090203,955,122,50,15,20101231,1.32,3.6,168779.00,"24,497",1846.00,108090.00,0.00,611359.00,174728.00,5125.00,0.00,58692.00,11640.00,47052.00,0.00,0.00,0.00,36831.00,36831.00,0.00,2,4,2,51102.00,58692.00,38,38,0,0,0,0,38,0,0,2,0,2.03,0,9,23,2,4,0,0
1,1383,20081218,1021,122,50,15,20091231,1.62,2.89,388685.00,0,5705.00,235754.00,0.00,1053108.00,372045.00,7752.00,0.00,97208.00,20694.00,76514.00,0.00,0.00,246.00,61388.00,61388.00,0.00,2,3,2,0.00,97454.00,90,90,0,0,0,90,0,0,0,7,0,1.37,0,57,33,0,0,0,0
1,1383,20081218,1021,122,50,15,20101231,1.55,2.87,256076.00,"50,088",2371.00,130958.00,0.00,1039667.00,371171.00,8329.00,0.00,97208.00,20694.00,76514.00,0.00,0.00,246.00,61388.00,61388.00,0.00,2,3,2,0.00,97454.00,90,90,0,0,0,90,0,0,0,7,0,1.37,0,57,33,0,0,0,0
1,1380,20080512,1075,507,146,22,20101231,3.75,2.46,273010.00,0,40.00,72705.00,0.00,1110662.00,459033.00,7507.00,0.00,48867.00,0.00,48867.00,0.00,0.00,0.00,0.00,0.00,0.00,8,2,0,0.00,48867.00,38,37,1,0,0,0,38,0,0,0,0,3.18,0,0,0,32,5,1,0
1,1379,20080512,1075,507,146,22,20101231,3.81,1.25,615923.00,"44,337",37.00,150009.00,0.00,1554175.00,1250581.00,9513.00,0.00,62048.00,0.00,62048.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5,1,0.00,62048.00,114,105,9,0,0,0,114,0,0,0,0,2.25,0,18,57,33,5,1,0
1,1198,20071024,580,175,1,22,20091231,2.43,3.7,171067.00,0,1162.00,69910.00,0.00,368927.00,318285.00,113553.00,105000.00,40389.00,2664.00,37725.00,0.00,0.00,990.00,40014.00,40014.00,0.00,6,3,0,0.00,41379.00,40,40,0,0,0,0,40,0,0,0,0,2.03,0,10,20,9,1,0,0
1,1198,20071024,580,175,1,22,20101231,1.17,2.86,171989.00,0,820.00,145870.00,0.00,276679.00,105779.00,9169.00,0.00,40389.00,2664.00,37725.00,0.00,0.00,990.00,40014.00,40014.00,0.00,6,3,0,0.00,41379.00,40,40,0,0,0,0,40,0,0,0,0,2.03,0,10,20,9,1,0,0
1,1197,20080515,1151,149,144,22,20101231,3.93,1.37,377537.00,0,812.00,95834.00,0.00,464021.00,368900.00,9443.00,21066.00,50772.00,5919.00,44853.00,0.00,0.00,1440.00,44271.00,44271.00,0.00,3,3,1,47119.00,52212.00,48,48,0,0,0,0,48,0,0,0,0,2,0,4,40,4,0,0,0
1,1191,20080630,610,319,91,21,20101231,0.93,1.76,238209.00,"1,741",67.00,253814.00,0.00,329946.00,304706.00,30452.00,86665.00,53007.00,13432.00,39575.00,0.00,0.00,0.00,29556.00,29556.00,0.00,1,3,1,96360.00,53007.00,38,15,0,23,0,38,0,0,0,0,0,1.58,0,16,22,0,0,0,0
1,1170,20010419,1052,122,97,21,20021231,1.98,4.68,232672.00,0,8990.00,113068.00,0.00,446665.00,104277.00,8734.00,0.00,70000.00,0.00,70000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5,2,0.00,70000.00,45,44,0,0,1,14,31,0,0,6,0,1,14,17,14,0,0,0,0
2,1061,19901107,1273,319,86,12,20091231,1.04,0.1,390961.00,"40,021",750.00,335846.00,0.00,353515.00,3707206.00,5432.00,0.00,132390.00,1222.00,131168.00,0.00,5016.00,0.00,98811.00,98811.00,0.00,2,4,1,0.00,137406.00,96,24,0,72,0,0,96,0,0,5,0,1.78,8,15,63,10,0,0,0
2,1061,19901107,1273,319,86,12,20101231,1.07,0.06,417863.00,"101,408",523.00,295847.00,0.00,266714.00,4380793.00,5537.00,0.00,132390.00,1222.00,131168.00,0.00,5016.00,0.00,98811.00,98811.00,0.00,2,4,1,0.00,137406.00,96,24,0,72,0,0,96,0,0,5,0,1.78,8,15,63,10,0,0,0
1,1059,19900720,83,229,15,20,19951231,1.08,1.95,1140671.00,"32,413",18018.00,1008028.00,0.00,390720.00,257528.00,57077.00,0.00,28995.00,250.00,28745.00,0.00,0.00,640.00,24756.00,24756.00,0.00,5,3,0,28266.00,29635.00,170,43,0,127,0,0,170,0,0,9,0,1.53,0,80,90,0,0,0,0
1,1059,19900720,83,229,15,20,19961231,1.02,1.29,1098570.00,"12,495",31290.00,1029758.00,0.00,487746.00,437297.00,58175.00,0.00,28995.00,250.00,28745.00,0.00,0.00,640.00,24756.00,24756.00,0.00,5,3,0,28266.00,29635.00,170,43,0,127,0,0,170,0,0,9,0,1.53,0,80,90,0,0,0,0
1,1059,19900720,83,229,15,20,19971231,1.06,2.62,1141731.00,"13,501",35287.00,1027010.00,0.00,577603.00,284072.00,63630.00,0.00,28995.00,250.00,28745.00,0.00,0.00,640.00,24756.00,24756.00,0.00,5,3,0,28266.00,29635.00,170,43,0,127,0,0,170,0,0,9,0,1.53,0,80,90,0,0,0,0
1,1059,19900720,83,229,15,20,19981231,1.14,3.5,1222173.00,"21,318",33422.00,1027010.00,0.00,740341.00,281081.00,69600.00,0.00,28995.00,250.00,28745.00,0.00,0.00,640.00,24756.00,24756.00,0.00,5,3,0,28266.00,29635.00,170,43,0,127,0,0,170,0,0,9,0,1.53,0,80,90,0,0,0,0
1,1033,19880603,442,224,93,20,20081231,1.02,1.29,831810.00,"79,931",5516.00,735004.00,0.00,378957.00,293389.00,1.00,0.00,193613.00,2315.00,191298.00,0.00,0.00,0.00,140271.00,140271.00,0.00,1,6,2,175219.00,193613.00,160,43,0,117,0,0,160,0,0,8,0,1.67,0,57,99,4,0,0,0
1,1033,19880603,442,224,93,20,20091231,1.07,1.42,1049338.00,"260,682",2192.00,736363.00,0.00,421862.00,296262.00,1.00,0.00,193613.00,2315.00,191298.00,0.00,0.00,0.00,140271.00,140271.00,0.00,1,6,2,175219.00,193613.00,160,43,0,117,0,0,160,0,0,8,0,1.67,0,57,99,4,0,0,0
1,1033,19880603,442,224,93,20,20101231,1.18,1.88,972412.00,"102,658",571.00,735004.00,0.00,602780.00,321416.00,1.00,0.00,193613.00,2315.00,191298.00,0.00,0.00,0.00,140271.00,140271.00,0.00,1,6,2,175219.00,193613.00,160,43,0,117,0,0,160,0,0,8,0,1.67,0,57,99,4,0,0,0
5,1030,19890208,1000,122,57,20,19950630,0.74,0.48,341307.00,"12,758",2745.00,440350.00,0.00,69304.00,192381.00,46666.00,0.00,51314.00,37180.00,14134.00,0.00,0.00,0.00,37180.00,37180.00,0.00,6,5,0,19387.00,51314.00,50,30,0,20,0,0,50,0,0,3,0,1.62,4,14,30,1,1,0,0
5,1030,19890208,1000,122,57,20,19961231,0.74,0.28,343317.00,"15,613",3214.00,441190.00,0.00,56304.00,248088.00,50516.00,0.00,51314.00,37180.00,14134.00,0.00,0.00,0.00,37180.00,37180.00,0.00,6,5,0,19387.00,51314.00,50,30,0,20,0,0,50,0,0,3,0,1.62,4,14,30,1,1,0,0
5,1030,19890208,1000,122,57,20,19971231,0.72,0.32,333017.00,"11,751",2886.00,440970.00,0.00,73604.00,286018.00,54683.00,0.00,51314.00,37180.00,14134.00,0.00,0.00,0.00,37180.00,37180.00,0.00,6,5,0,19387.00,51314.00,50,30,0,20,0,0,50,0,0,3,0,1.62,4,14,30,1,1,0,0
5,1030,19890208,1000,122,57,20,19980630,0.79,0.26,360139.00,"9,730",4240.00,438550.00,0.00,74772.00,356822.00,73048.00,0.00,51314.00,37180.00,14134.00,0.00,0.00,0.00,37180.00,37180.00,0.00,6,5,0,19387.00,51314.00,50,30,0,20,0,0,50,0,0,3,0,1.62,4,14,30,1,1,0,0
4,1010,19861231,1221,229,15,18,20081231,0.97,0.53,455900.00,"82,100",3830.00,382573.00,0.00,326815.00,614752.00,1.00,0.00,211426.00,8596.00,202830.00,0.00,0.00,0.00,134084.00,134084.00,0.00,1,5,2,102235.00,211426.00,155,39,0,116,0,0,155,0,0,0,0,1.9,0,25,120,10,0,0,0
4,1010,19861231,1221,229,15,18,20091231,0.99,0.52,567515.00,"187,237",404.00,382573.00,0.00,301839.00,580641.00,1.00,0.00,211426.00,8596.00,202830.00,0.00,0.00,0.00,134084.00,134084.00,0.00,1,5,2,102235.00,211426.00,155,39,0,116,0,0,155,0,0,0,0,1.9,0,25,120,10,0,0,0
2,1010,19861231,1221,229,15,18,20101231,1.01,0.49,445912.00,"60,575",176.00,382673.00,0.00,253349.00,515638.00,1.00,0.00,211426.00,8596.00,202830.00,0.00,0.00,0.00,134084.00,134084.00,0.00,1,5,2,102235.00,211426.00,155,39,0,116,0,0,155,0,0,0,0,1.9,0,25,120,10,0,0,0
1,1009,19871005,742,229,15,20,19951231,1.08,1.52,978713.00,"3,451",3898.00,901604.00,0.00,209307.00,270811.00,133387.00,0.00,108218.00,2773.00,105445.00,0.00,0.00,0.00,88542.00,88542.00,0.00,15,2,0,2474208.00,108218.00,90,23,0,67,0,0,90,0,0,5,0,1.5,0,45,45,0,0,0,0
1,1009,19871005,742,229,15,20,19961231,1.09,1.37,983602.00,0,5142.00,901603.00,0.00,198280.00,288662.00,144270.00,0.00,108218.00,2773.00,105445.00,0.00,0.00,0.00,88542.00,88542.00,0.00,15,2,0,2474208.00,108218.00,90,23,0,67,0,0,90,0,0,5,0,1.5,0,45,45,0,0,0,0
1,1009,19871005,742,229,15,20,19971231,1.11,1.61,1005474.00,0,6541.00,901604.00,0.00,228719.00,298429.00,156042.00,0.00,108218.00,2773.00,105445.00,0.00,0.00,0.00,88542.00,88542.00,0.00,15,2,0,2474208.00,108218.00,90,23,0,67,0,0,90,0,0,5,0,1.5,0,45,45,0,0,0,0
