Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
1,65,20040602,1142,366,34,14,20060630,0.63,1.47,334421.00,"19,731",17788.00,467669.00,0.00,284348.00,237543.00,43509.00,0.00,72792.00,72792.00,0.00,0.00,0.00,0.00,46674.00,46674.00,0.00,1,7,2,59072.00,72792.00,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
1,74,20040929,979,451,43,14,20061231,1.38,2.24,1110759.00,0,79182.00,748366.00,0.00,703995.00,398142.00,83661.00,0.00,110566.00,0.00,110566.00,0.00,0.00,0.00,0.00,0.00,0.00,1,18,2,0.00,110566.00,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
1,75,20050525,802,160,23,14,20070831,1.2,4.12,1205505.00,"136,928",94753.00,808365.00,0.00,2242667.00,641747.00,97951.00,0.00,168000.00,0.00,168000.00,0.00,0.00,0.00,0.00,0.00,0.00,2,9,2,0.00,168000.00,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
3,77,20050314,739,508,53,14,20061231,0.92,0.93,519826.00,"29,408",30977.00,501260.00,0.00,442317.00,527738.00,53675.00,0.00,106870.00,0.00,106870.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3,3,0.00,106870.00,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
1,85,20070628,170,36,109,13,20091231,1.3,4.4,1604388.00,"53,248",5049.00,1188288.00,0.00,1838137.00,552044.00,134605.00,0.00,191538.00,0.00,191538.00,0.00,0.00,0.00,124176.00,124176.00,0.00,4,0,5,0.00,191538.00,321,321,0,0,0,220,101,0,0,0,0,0.19,260,61,0,0,0,0,0
1,87,20060918,1118,451,117,14,20061231,-1.5,2.68,-412884.00,"6,960",22238.00,295283.00,0.00,635471.00,263652.00,26791.00,0.00,75648.00,0.00,75648.00,0.00,0.00,0.00,48100.00,48100.00,0.00,1,0,2,0.00,75648.00,76,75,0,0,1,75,1,0,0,8,0,1.09,0,69,7,0,0,0,0
1,93,20050524,1156,366,34,14,20060630,3.45,2.72,1277370.00,0,23498.00,363303.00,0.00,360431.00,176716.00,44372.00,0.00,54405.00,0.00,54405.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7,2,0.00,54405.00,107,106,0,1,0,106,1,0,0,11,0,0.75,27,80,0,0,0,0,0
1,103,20040630,738,83,66,14,20041231,1.43,2.66,498170.00,"114,715",9271.00,262196.00,0.00,489839.00,205801.00,21378.00,0.00,232337.00,0.00,232337.00,0.00,0.00,0.00,0.00,0.00,0.00,7,2,0,0.00,232337.00,60,60,0,0,0,60,0,0,0,6,0,1.05,0,57,3,0,0,0,0
4,105,20101124,151,57,103,13,20081231,0.64,0,178309.00,0,0.00,279293.00,0.00,0.00,0.00,0.00,0.00,132960.00,132960.00,0.00,0.00,0.00,0.00,102640.00,102640.00,0.00,2,6,4,0.00,132960.00,144,88,51,4,1,0,144,0,0,0,0,1.72,2,48,82,12,0,0,0
1,127,20091006,258,160,79,14,20101231,3.91,2.68,775205.00,"34,904",2420.00,188698.00,0.00,367854.00,156865.00,19800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,40,40,0,0,0,40,0,0,0,3,0,0.75,10,30,0,0,0,0,0
4,135,20031219,651,122,50,13,20031231,0,0,-148521.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29900.00,0.00,29900.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5,1,0.00,29900.00,34,3,31,0,0,0,34,0,0,1,0,0.88,4,30,0,0,0,0,0
1,139,20040304,878,89,114,15,20041231,1.5,2.13,1418642.00,0,34466.00,921162.00,0.00,1231061.00,865931.00,287789.00,0.00,138000.00,0.00,138000.00,0.00,0.00,0.00,89687.00,89687.00,0.00,1,8,2,16478.00,138000.00,127,126,0,0,1,127,0,0,0,13,0,0.99,9,110,8,0,0,0,0
3,147,20040625,260,122,89,14,20051031,0.92,1,245521.00,"28,671",9358.00,225331.00,0.00,79988.00,100763.00,20922.00,0.00,41924.00,0.00,41924.00,0.00,0.00,0.00,0.00,0.00,0.00,7,2,0,0.00,41924.00,60,60,0,0,0,60,0,0,0,0,0,1,0,60,0,0,0,0,0
1,156,20070405,492,122,26,14,20080630,1.31,1.5,371703.00,"42,936",31786.00,227184.00,0.00,399710.00,287783.00,21411.00,0.00,37250.00,0.00,37250.00,0.00,0.00,0.00,27100.00,27100.00,0.00,1,2,1,0.00,37250.00,50,50,0,0,0,50,0,0,0,4,0,0.84,8,42,0,0,0,0,0
1,164,20051103,1242,175,92,14,20100630,0.96,2.41,546577.00,"141,469",1792.00,421465.00,0.00,247781.00,153633.00,50973.00,0.00,65908.00,0.00,65908.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7,2,0.00,65908.00,75,74,0,0,1,74,1,0,0,10,0,0.75,19,56,0,0,0,0,0
1,182,20030702,500,7,105,14,20041231,0.91,11.31,307081.00,0,31831.00,303380.00,0.00,1173025.00,144895.00,41220.00,0.00,60000.00,0.00,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,3,1,0.00,60000.00,74,73,0,0,1,73,1,0,0,9,0,0.96,3,71,0,0,0,0,0
1,197,20040402,466,122,116,15,20100630,1.35,7.08,416833.00,"30,963",10950.00,277413.00,0.00,1230884.00,215548.00,41705.00,0.00,45000.00,45000.00,0.00,0.00,0.00,0.00,36600.00,36600.00,0.00,1,3,1,0.00,45000.00,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
2,198,20050511,1107,451,117,15,20060630,1.09,0.63,524445.00,"148,440",36682.00,311795.00,0.00,162986.00,294039.00,35337.00,0.00,80000.00,0.00,80000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4,2,0.00,80000.00,84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
