rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
11,12/29/2000,498,224,93,INTERN,12/31/2004,C,0.89,1.06,1685243,0,724,1901170,0,618034,653595,71827,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2005,D,0.86,0.63,1644667,12894,1833,1901005,0,399845,712263,78059,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2006,F,0.8,0.39,1547160,69879,3317,1846838,0,239194,722888,112530,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2007,D,0.92,0.41,1628905,58960,3202,1711882,0,247538,726172,120989,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2008,B,1.03,0.39,1796511,35304,2111,1707488,0,211229,667701,130084,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2009,C,0.98,0.41,1725822,48962,867,1711302,0,230509,696128,139863,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2010,C,0.94,0.39,1670976,58770,394,1710977,0,218678,708415,150377,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2001,D,0,0.42,192086,26282,12415,0,0,562198,1349665,21359,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2002,A,0.98,3.07,450252,36838,2998,419251,0,815594,468876,26961,176285,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2003,C,0.63,1.36,311252,30016,9966,429235,0,583726,453026,25232,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2004,D,0.7,1.05,343506,25671,10715,441476,0,550328,551719,27199,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2005,D,0.98,0.99,497367,52211,10670,441200,0,626980,665445,29306,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2006,D,0.96,0.98,466637,24536,17116,441476,0,547751,592064,31575,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2007,C,0.88,1.48,512622,103175,19227,441476,0,497549,369997,34020,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2008,A,1,1.74,493538,37821,11992,441919,0,510480,329878,36655,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2009,A,1.22,2.57,599087,55300,5352,440225,0,500871,234419,39493,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2010,A,1.37,4.19,674335,67878,2910,440063,0,1586713,421211,42552,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2002,A,2.02,2.52,635707,30734,8204,295648,0,474625,209486,21158,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2003,A,1.47,2.62,441456,6959,7513,289611,0,507681,216283,22631,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2004,A,1.49,2.58,554618,87132,8626,307611,0,442975,196108,24207,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2005,A,1.37,2.58,441563,10615,9510,307065,0,442975,196108,24207,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2006,C,0.88,2.92,319885,34119,16648,305711,0,574055,224437,27695,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2007,A,1.62,3.46,583892,64234,21008,307611,0,722754,238288,29624,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2008,A,1.58,3.66,574579,74611,15100,306888,0,687083,219174,31686,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2009,A,1.74,3.83,627337,89015,4977,306746,0,782223,238039,33892,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
14,1/1/2001,1070,26,125,S8SUBR,12/31/2010,A,1.91,3.83,668748,81716,1759,306595,0,788310,242144,36252,0,52000,8920,43080,1351,,,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
16,4/23/2001,896,175,71,S8LMSA,12/31/2002,A,1.48,2.11,2042908,0,54189,1345796,0,2660983,1260276,1,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2003,A,1.65,2.36,2336171,214473,44938,1257428,0,2831333,1290908,93672,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2004,A,1.47,1.46,2233133,192618,42378,1356371,0,2958989,2131038,100277,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2005,A,1.61,1.52,2345678,108802,40955,1365298,0,2837940,1971095,107347,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2006,A,1.88,1.66,2612607,0,54273,1360754,0,3155501,2012484,114917,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2007,A,1.67,1.68,2804108,468007,67459,1356919,0,2689153,1725871,123019,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2008,A,1.83,2.03,2811710,287874,34721,1356919,0,3299800,1755904,131693,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2009,A,2.03,2.48,2841544,72015,12562,1356919,0,3624655,1602602,140980,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
16,4/23/2001,896,175,71,S8LMSA,12/31/2010,A,1.88,1.85,2560487,0,6108,1356919,0,4032594,2327380,150920,0,155687,9685,146002,5121,,,154928,151166,3762,7,3,2,55156,160808,181,181,0,0,0,,181,0,0,9,0,2.1,11,52,64,24,26,0,4
17,8/14/2001,950,175,71,S8LMSA,12/31/2002,A,1.78,3.03,464806,0,15882,252497,0,979272,323338,1,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2003,A,1.77,4.99,570392,11326,15101,307783,0,1065452,236540,23158,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2004,A,1.44,2.35,526291,16751,17069,341786,0,926841,419129,24773,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2005,A,1.7,2.06,611073,11625,17654,341786,0,814060,422232,26494,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2006,A,1.73,2.55,607962,0,20164,338882,0,832383,354409,28341,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2007,A,1.62,2.14,583837,12782,23906,336809,0,646144,332444,30318,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2008,A,1.47,2.37,533805,23345,15336,336809,0,549746,264082,32434,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2009,A,1.74,2.65,617547,26795,5635,336809,0,598913,260610,34702,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
17,8/14/2001,950,175,71,S8LMSA,12/31/2010,A,1.74,2.81,662172,71877,2128,338807,0,606081,252989,37122,0,35000,35000,,,,,29219,29219,,2,5,0,,35000,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
18,12/1/2000,514,89,20,S8NCON,12/31/2000,A,2.04,43.88,1893828,359812,30264,735916,0,7282600,219939,53957,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2001,A,1.24,16.78,2280561,458030,43664,1436688,0,3607121,275346,58563,1827,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2002,A,1.2,7.52,1879769,135295,24751,1436688,0,1593707,274948,63125,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2003,A,1.19,2.59,1852520,123981,21071,1436458,0,608038,303304,68514,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2004,A,1.24,1.85,2102328,305935,18491,1436209,0,468051,327913,74363,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2005,A,1.33,2.59,2294395,374133,15049,1437007,0,760828,374662,80712,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2006,A,1.46,3.73,2465288,357177,12714,1432669,0,1050622,369546,87602,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2007,A,1.54,2.29,1109908,0,7773,717663,0,715992,407935,95080,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2008,A,1.5,3.5,2312255,154652,10344,1434329,0,1066624,407591,103197,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2009,A,1.64,5.58,2403962,45512,3730,1434605,0,1301252,345337,112007,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
18,12/1/2000,514,89,20,S8NCON,12/31/2010,A,1.7,5.06,2477322,38139,1623,1434231,0,1433935,404885,121569,0,246135,,246135,,,,0,,,1,14,2,,246135,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
19,7/1/2001,456,149,156,TCRED4,12/31/2003,A,1.3,1.87,892879,0,1071,688280,0,362177,297281,87539,16146,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2004,A,1.4,1.67,1036809,65024,3782,690276,0,448040,378810,93774,16637,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2005,A,1.26,2.07,919102,49884,4116,688759,0,488883,354170,100453,17143,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2006,A,1.33,1.86,960704,39279,6663,687189,0,526880,408236,107608,17664,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2007,A,1.22,2.09,923648,74002,10017,686772,0,476216,361438,115272,18202,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2008,A,1.27,2.08,966676,89465,6467,686326,0,537544,400952,123482,18802,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2009,A,1.2,1.84,965341,139810,2414,685848,0,432372,386246,132277,19500,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
19,7/1/2001,456,149,156,TCRED4,12/31/2010,A,1.35,2.68,997561,70184,854,685336,0,719734,430069,141698,20260,165000,,165000,,,,143060,143060,,17,2,0,544064,165000,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
28,7/26/2007,967,93,140,S8NCON,12/31/2009,A,1.42,2.39,865685,40793,7238,577722,0,1138202,534488,57989,0,116167,32840,83327,,,4768,79775,79775,0,1,11,2,46895,120935,125,125,0,0,0,125,0,0,0,24,0,1.26,0,99,20,6,0,0,0
28,7/26/2007,967,93,140,S8NCON,12/31/2010,A,1.82,3.6,929806,69492,2630,472516,0,1412117,453630,61339,0,116167,32840,83327,,,4768,79775,79775,0,1,11,2,46895,120935,125,125,0,0,0,125,0,0,0,24,0,1.26,0,99,20,6,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2004,A,1.5,3,615303,21453,8949,389467,0,462804,208914,54544,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2005,A,1.37,3.33,589729,44614,14378,387953,0,471470,198884,57357,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2006,A,1.31,2.85,551874,25524,16918,388879,0,458179,220846,60314,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2007,A,1.4,1.67,633148,63386,25967,389761,0,315573,252122,63424,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2008,A,1.52,1.69,727551,122217,15008,388589,0,387350,295334,66694,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2009,A,1.59,1.74,761347,138470,5350,388340,0,355117,274219,70132,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
34,3/13/2003,1174,89,114,S8NCON,12/31/2010,A,1.4,1.73,666384,121108,2012,388166,0,387088,297734,73748,0,115174,,115174,,,,0,,,1,8,2,,115174,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
56,6/28/2007,180,36,109,S8SUBR,12/31/2009,A,1.35,5.88,494020,8803,3213,357243,0,415210,115648,45023,0,54550,,54550,1611,,,44929,43640,1289,2,5,1,,56161,65,65,0,0,0,0,65,0,0,6,0,1.15,0,55,10,0,0,0,0
56,6/28/2007,180,36,109,S8SUBR,12/31/2010,A,1.25,5.2,511755,19269,1031,393351,0,492719,142225,47515,0,54550,,54550,1611,,,44929,43640,1289,2,5,1,,56161,65,65,0,0,0,0,65,0,0,6,0,1.15,0,55,10,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2005,A,-19.09,2.63,-2822033,0,12800,148478,0,581603,238858,17468,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2006,A,0.47,1.55,250185,18740,16209,459501,0,388650,305424,54403,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2007,C,0.88,1.74,537229,27240,48943,523204,0,299214,229692,57535,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2008,A,1.05,2,608587,29407,28446,523203,0,357211,239144,60847,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2009,A,0.98,1.82,540868,13992,13241,523136,0,378202,272233,64350,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
60,1/10/2005,848,366,34,S8SUBR,6/30/2010,D,0.82,0.7,743460,312801,3734,523204,0,158712,295614,68054,0,80101,24468,55633,,,,60805,60805,,1,7,2,32146,80101,120,119,0,0,1,119,1,0,0,7,0,0.74,31,89,0,0,0,0,0
65,6/2/2004,1142,366,34,S8NCON,6/30/2006,A,0.63,1.47,334421,19731,17788,467669,0,284348,237543,43509,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
65,6/2/2004,1142,366,34,S8NCON,6/30/2007,B,1.02,0.61,582638,44837,31298,498485,0,78158,174800,46345,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
65,6/2/2004,1142,366,34,S8NCON,6/30/2008,C,0.94,0.83,660480,165037,28061,498485,0,82927,148878,49366,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
65,6/2/2004,1142,366,34,S8NCON,6/30/2009,B,1,0.95,613219,103000,11205,498485,0,96956,154112,52583,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
65,6/2/2004,1142,366,34,S8NCON,12/31/2010,C,0.94,0.97,524659,53131,3245,498485,0,121377,180668,56009,0,72792,72792,,,,,46674,46674,,1,7,2,59072,72792,100,99,0,0,1,100,0,0,0,8,0,0.74,26,74,0,0,0,0,0
74,9/29/2004,979,451,43,S8NCON,12/31/2006,A,1.38,2.24,1110759,0,79182,748366,0,703995,398142,83661,0,110566,,110566,,,,0,,,1,18,2,,110566,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
74,9/29/2004,979,451,43,S8NCON,12/31/2007,A,1.28,1.89,1243283,195383,22209,804171,0,899359,563486,88556,0,110566,,110566,,,,0,,,1,18,2,,110566,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
74,9/29/2004,979,451,43,S8NCON,12/31/2008,A,1.21,2.11,1164541,178252,10845,805519,0,975044,555859,93738,0,110566,,110566,,,,0,,,1,18,2,,110566,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
74,9/29/2004,979,451,43,S8NCON,12/31/2009,A,1.06,1.83,870227,0,9995,813743,0,1097264,699120,99223,0,110566,,110566,,,,0,,,1,18,2,,110566,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
74,9/29/2004,979,451,43,S8NCON,12/31/2010,A,1.03,1.48,881673,49118,2694,804867,0,1354840,1018883,105029,0,110566,,110566,,,,0,,,1,18,2,,110566,145,144,0,0,1,144,1,0,0,8,0,0.81,28,117,0,0,0,0,0
75,5/25/2005,802,160,23,S8NCON,8/31/2006,A,1.23,4.1,1104655,86584,26820,808365,0,2192065,627357,92730,0,168000,,168000,,,,0,,,2,9,2,,168000,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
75,5/25/2005,802,160,23,S8NCON,8/31/2007,A,1.2,4.12,1205505,136928,94753,808365,0,2242667,641747,97951,0,168000,,168000,,,,0,,,2,9,2,,168000,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
75,5/25/2005,802,160,23,S8NCON,8/31/2008,A,1.68,4.86,1509600,131901,25010,807118,0,2046692,524872,103466,0,168000,,168000,,,,0,,,2,9,2,,168000,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
75,5/25/2005,802,160,23,S8NCON,8/31/2009,A,1.21,3.68,1093822,106852,11508,805374,0,2304786,735088,109291,0,168000,,168000,,,,0,,,2,9,2,,168000,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
75,5/25/2005,802,160,23,S8NCON,8/31/2010,A,2.69,2.95,2267590,90798,6142,805800,0,2531171,972901,115444,0,168000,,168000,,,,0,,,2,9,2,,168000,200,199,0,0,1,199,1,0,0,15,0,0.98,12,180,8,0,0,0,0
77,3/14/2005,739,508,53,S8NCON,12/31/2006,C,0.92,0.93,519826,29408,30977,501260,0,442317,527738,53675,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
77,3/14/2005,739,508,53,S8NCON,12/31/2007,A,1.12,1.27,668751,67413,38456,501260,0,506467,454928,56827,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
77,3/14/2005,739,508,53,S8NCON,12/31/2008,A,1.21,1.42,771740,160416,23236,486515,0,663584,527698,60164,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
77,3/14/2005,739,508,53,S8NCON,12/31/2009,A,1.16,1.42,637797,50010,8153,500148,0,700984,558708,63697,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
77,3/14/2005,739,508,53,S8NCON,12/31/2010,A,1.2,1.44,873101,271183,3391,499862,0,893648,689014,67437,0,106870,,106870,,,,0,,,3,3,3,,106870,150,149,0,0,1,149,1,0,0,15,0,1.04,0,144,6,0,0,0,0
